,school.province,student_per_rm,mooe_student_ratio,student_teacher_ratio
0,Abra,27.16703976705487,870.8990294928226,26.08079350855883
1,Agusan del Norte,44.64065134655858,609.1279607530682,42.10795320934636
2,Agusan del Sur,46.07422584835886,643.4158051460163,42.23788796657621
3,Aklan,35.63448917793587,692.5272187140797,33.79694414932894
4,Albay,36.38125558722815,639.9062484038861,37.19579328637834
5,Antique,36.238339843434076,757.1461769134646,32.523681718456835
6,Apayao,32.36312278932893,837.568015546335,34.20295925670322
7,Aurora,34.26164831352096,731.571194720233,36.349699224057616
8,Bataan,40.896552089493845,563.5283620149818,42.01709314024263
9,Batanes,25.836277302943973,983.6445071643939,17.747135217723454
10,Batangas,46.43184564621726,601.6459431592851,40.225702376798786
11,Benguet,31.364531795713503,779.6117287771647,31.884373583677036
12,Biliran,28.340474970069085,746.905612387548,29.449011696592024
13,Bohol,38.72373139600319,722.5579655500168,35.99608594058366
14,Bukidnon,45.937359935112475,607.2110347590562,44.70916853085566
15,Bulacan,47.489355384535095,528.1467483055723,45.854433536719306
16,Cagayan,33.7909971046129,711.7466257774239,34.45597228374893
17,Camarines Norte,42.332314087761816,603.6372641430647,41.17458327793395
18,Camarines Sur,44.3062250080697,602.3240503342213,43.559522352913035
19,Camiguin,30.137705962800307,757.7149090281455,28.940945234573316
20,Capiz,30.403548173932112,751.7180706936713,28.33275068818969
21,Catanduanes,28.729869269252212,816.5853163028488,25.9679236786496
22,Cavite,49.8226747264451,544.995835224657,44.457919165233115
23,Cebu,47.23767000539845,575.2374535606326,45.64569002618194
24,City Of Cotabato,53.88431432877345,479.9684091503245,44.66403606153335
25,City Of Isabela,40.01559317809317,678.3874461771186,25.99558812884025
26,Compostela Valley,43.73364150371977,619.1988073413597,43.303529100204415
27,Davao Oriental,40.23164950846688,665.2386541779466,36.61800908296885
28,Davao del Norte,46.47521801202796,555.810738442424,44.936208418137944
29,Davao del Sur,44.129928179066255,583.9628454532814,42.732840106006456
30,Dinagat Islands,36.02513977813347,769.8282030874487,35.08586657993986
31,Eastern Samar,32.95576813808701,809.2128061974097,33.75792831479999
32,Guimaras,33.140384160988084,682.5837233932972,31.732111879384615
33,Ifugao,30.821137741882243,806.0021859620266,29.81322895141388
34,Ilocos Norte,30.33089810746581,791.5237901224633,29.035995435829797
35,Ilocos Sur,30.33133146438704,800.2214086186779,27.553365179937465
36,Iloilo,35.469645355491814,672.1718338474712,35.370437502695225
37,Isabela,34.736827863479476,722.999759390514,34.97385236461646
38,Kalinga,38.572842619329606,820.3534898741568,33.004034098057886
39,La Union,31.963225207532453,712.6464574375937,31.99373638101564
40,Laguna,47.368601863933286,552.3507448210113,43.50618602745802
41,Lanao del Norte,42.44679736775421,637.6592491189226,39.376518254640885
42,Leyte,35.14990436315733,715.6432106115145,36.272206543156315
43,Marinduque,29.369202145659493,759.2476880148103,28.6823946428049
44,Masbate,41.7893347878363,626.6159122336466,40.60237764326257
45,Metropolitan Manila,57.233783428684774,479.5879650468662,35.463623807481945
46,Misamis Occidental,30.782318048619786,815.9387817668771,29.705943717669744
47,Misamis Oriental,45.025164978597005,675.3011032489824,38.957778209892965
48,Mountain Province,30.158404194516383,910.1014531435285,25.175121325960852
49,Negros Occidental,40.473043196102665,575.430599679515,38.75382604686522
50,Negros Oriental,40.251272211170885,643.8761491428817,38.92883074225566
51,North Cotabato,43.21329428287164,606.1995448534334,42.835221371112446
52,Northern Samar,42.466063416477326,737.0901319843875,39.38823198455816
53,Nueva Ecija,39.90596085816316,625.7584795677478,38.50175402982447
54,Nueva Vizcaya,32.457206456996296,737.0197153528046,35.48865421078949
55,Occidental Mindoro,40.558837696900156,644.6097387465146,40.90900057810988
56,Oriental Mindoro,36.79753730829328,652.9424094950218,38.02733247014291
57,Palawan,45.27568002397749,684.5437010549244,44.09301069189735
58,Pampanga,41.41604548053652,564.0165985420846,39.03018680590163
59,Pangasinan,38.16295467610424,638.8699810778232,35.70026587008778
60,Quezon,44.49693143193021,627.9707879132594,41.443616269784705
61,Quirino,29.863548230283932,791.2476026605782,31.860189038077205
62,Rizal,48.300478773331996,529.3945720884388,45.938138151414535
63,Romblon,32.87319489144447,728.2945577675836,31.514879407585084
64,Sarangani,47.57047720668936,586.3199673108878,44.26354432338959
65,Siquijor,25.970710489097506,832.9792839712478,23.40317489024385
66,Sorsogon,37.29276079907832,694.2912370575403,36.59105005595511
67,South Cotabato,44.88391439902319,568.5716819182344,42.62807021165718
68,Southern Leyte,28.285403289167128,839.9816869137987,29.052400591665176
69,Sultan Kudarat,43.4281036067557,630.4853447880733,39.764699639084306
70,Surigao del Norte,38.47362330010359,735.40220143042,34.34939436754934
71,Surigao del Sur,37.79377994195803,726.8734428342561,35.77375248663065
72,Tarlac,39.2734665104627,631.5963726028758,37.702441078661096
73,Western Samar,38.51324737273344,786.2101692411674,39.638215129332586
74,Zambales,36.003145149760385,645.306191711637,36.96391314766891
75,Zamboanga Sibugay,33.55879133603258,667.9234620484705,39.71828669695709
76,Zamboanga del Norte,38.37518112406309,695.6494617403295,35.794328042703285
77,Zamboanga del Sur,36.343774871700106,684.4006124808144,38.732644016504345
