,clusters,Latitude,Longitude,geometry
0,1,15.799122,120.498531,POINT (120.498531 15.799122)
1,2,18.19638889,120.58666670000001,POINT (120.5866667 18.19638889)
2,0,15.780154999999999,120.460509,POINT (120.460509 15.780155)
3,0,18.168875,120.69539170000002,POINT (120.6953917 18.168875)
4,2,18.531941,120.75589,POINT (120.75589 18.531941)
6,2,16.162879,119.77311,POINT (119.77311 16.162879)
7,2,15.86600556,120.3282722,POINT (120.3282722 15.86600556)
8,0,18.24726389,120.65193889999999,POINT (120.6519389 18.24726389)
9,0,18.531789,120.615402,POINT (120.615402 18.531789)
10,1,15.926860999999999,120.442371,POINT (120.442371 15.926861)
11,0,18.158582,120.761857,POINT (120.761857 18.158582)
12,0,16.234129,119.93082199999999,POINT (119.930822 16.234129)
13,2,16.52405833,120.3498,POINT (120.3498 16.52405833)
14,0,17.944346,120.706324,POINT (120.706324 17.944346)
16,2,18.462301999999998,120.901845,POINT (120.901845 18.462302)
17,0,17.388542,120.517357,POINT (120.517357 17.388542)
18,2,16.92255,120.47116100000001,POINT (120.471161 16.92255)
19,2,16.895148000000002,120.415846,POINT (120.415846 16.895148)
20,0,18.451498,120.646098,POINT (120.646098 18.451498)
21,1,16.205104000000002,120.51402,POINT (120.51402 16.205104)
22,2,15.89084722,120.32321670000002,POINT (120.3232167 15.89084722)
23,0,18.549522,120.81314499999999,POINT (120.813145 18.549522)
24,2,16.118333,119.796667,POINT (119.796667 16.118333)
25,2,16.022841,120.730731,POINT (120.730731 16.022841)
26,2,16.325118,120.369534,POINT (120.369534 16.325118)
27,1,16.322479,120.36587800000001,POINT (120.365878 16.322479)
28,0,16.50558,120.45142,POINT (120.45142 16.50558)
29,1,15.885278,120.237778,POINT (120.237778 15.885278)
31,2,16.50344444,120.4227111,POINT (120.4227111 16.50344444)
32,2,15.910747,120.40711999999999,POINT (120.40712 15.910747)
33,1,16.160137,119.982593,POINT (119.982593 16.160137)
34,0,17.673464000000003,120.37289399999999,POINT (120.372894 17.673464)
36,2,15.846944,120.520278,POINT (120.520278 15.846944)
37,2,16.072534,120.441184,POINT (120.441184 16.072534)
38,0,18.21735,120.63793329999999,POINT (120.6379333 18.21735)
39,0,17.170385,120.60888700000001,POINT (120.608887 17.170385)
40,1,15.91667222,120.41666670000001,POINT (120.4166667 15.91667222)
41,2,16.003789,120.38403600000001,POINT (120.384036 16.003789)
42,0,16.617427,120.469452,POINT (120.469452 16.617427)
43,2,16.157232999999998,120.52223500000001,POINT (120.522235 16.157233)
44,0,16.888429000000002,120.527193,POINT (120.527193 16.888429)
45,2,15.837217,120.41561200000001,POINT (120.415612 15.837217)
46,2,16.106299,120.56320900000001,POINT (120.563209 16.106299)
47,0,18.195999999999998,120.59299999999999,POINT (120.593 18.196)
48,2,16.0325,120.408056,POINT (120.408056 16.0325)
49,2,15.971901999999998,120.244321,POINT (120.244321 15.971902)
50,0,16.0575,119.80631899999999,POINT (119.806319 16.0575)
51,2,17.166399,120.48816000000001,POINT (120.48816 17.166399)
52,2,16.80886,120.331698,POINT (120.331698 16.80886)
53,2,16.123333,119.78361100000001,POINT (119.783611 16.123333)
54,2,16.101925,119.966283,POINT (119.966283 16.101925)
55,0,18.292254999999997,120.685276,POINT (120.685276 18.292255)
56,2,16.976835,120.762573,POINT (120.762573 16.976835)
57,2,16.096944,120.53694399999999,POINT (120.536944 16.096944)
58,2,16.167348,120.491495,POINT (120.491495 16.167348)
59,2,15.963579000000001,119.87020600000001,POINT (119.870206 15.963579)
60,2,16.327825,120.4086639,POINT (120.4086639 16.327825)
61,1,15.87146389,120.53789440000001,POINT (120.5378944 15.87146389)
62,0,16.016681,120.445394,POINT (120.445394 16.016681)
63,1,15.777626999999999,120.45702299999999,POINT (120.457023 15.777627)
64,2,16.136260999999998,119.97009399999999,POINT (119.970094 16.136261)
65,2,16.162171,119.91966200000002,POINT (119.919662 16.162171)
66,2,15.832751000000002,120.440721,POINT (120.440721 15.832751)
67,2,17.0662,120.464188,POINT (120.464188 17.0662)
69,2,16.150289,120.44996499999999,POINT (120.449965 16.150289)
71,0,16.29780278,120.47601110000001,POINT (120.4760111 16.29780278)
72,0,16.297641,120.476231,POINT (120.476231 16.297641)
73,2,16.474287,120.40643600000001,POINT (120.406436 16.474287)
74,2,15.773484,120.40385400000001,POINT (120.403854 15.773484)
75,0,16.297354000000002,120.395324,POINT (120.395324 16.297354)
76,0,16.29741667,120.39505279999999,POINT (120.3950528 16.29741667)
77,2,16.026365,120.36945300000001,POINT (120.369453 16.026365)
78,2,17.300068,120.42371399999999,POINT (120.423714 17.300068)
79,2,15.9875,120.33555559999999,POINT (120.3355556 15.9875)
80,0,17.47143889,120.4916528,POINT (120.4916528 17.47143889)
81,0,17.16902051,120.515449,POINT (120.515449 17.16902051)
82,0,16.86434,120.58390700000001,POINT (120.583907 16.86434)
83,1,16.236114999999998,120.432341,POINT (120.432341 16.236115)
